Rank,Release Group,Worldwide,year,Domestic %,Foreign %,Domestic (in $),Foreign (in $)
274,Murder on the Orient Express,352789811,2017,0.29146687289106543,0.7085331271089346,102826543,249963268
275,X-Men: First Class,352616690,2011,0.41520526155469273,0.5847947384453073,146408305,206208385
276,The Angry Birds Movie,352333929,2016,0.3051348653964007,0.6948651346035993,107509366,244824563
277,Catch Me If You Can,352114312,2002,0.4675054247723961,0.5324945752276039,164615351,187498961
278,Now You See Me,351723989,2013,0.3347056006464205,0.6652943993535795,117723989,234000000
279,Hannibal,351692268,2001,0.46942251229702897,0.5305774877029711,165092268,186600000
280,Peter Rabbit,351266433,2018,0.3281082767165515,0.6718917232834485,115253424,236013009
281,Dinosaur,349822765,2000,0.39376529140406286,0.6062347085959372,137748063,212074702
282,Mary Poppins Returns,349537494,2018,0.4919599211865952,0.5080400788134047,171958438,177579056
283,The Lorax,348840316,2012,0.6135486358176558,0.3864513641823441,214030500,134809816
284,The Maze Runner,348319861,2014,0.2940626517992323,0.7059373482007677,102427862,245891999
285,The Smurfs 2,347545360,2013,0.2043410506185437,0.7956589493814563,71017784,276527576
286,National Treasure,347512318,2004,0.4978496733459675,0.5021503266540325,173008894,174503424
287,Rush Hour 2,347325802,2001,0.6511588966258257,0.3488411033741743,226164286,121161516
288,Trolls,346864462,2016,0.44313292608223437,0.5568670739177656,153707064,193157398
289,xXx: Return of Xander Cage,346118277,2017,0.12971985585147242,0.8702801441485276,44898413,301219864
290,How the Grinch Stole Christmas,345141403,2000,0.7534443064195344,0.24655569358046564,260044825,85096578
291,Titanic 2012 3D Release,343550770,2012,0.1684878016719334,0.8315121983280667,57884114,285666656
292,Star Trek Beyond,343471816,2016,0.462478528369268,0.537521471630732,158848340,184623476
293,Alvin and the Chipmunks: Chipwrecked,342695435,2011,0.3884228630007867,0.6115771369992133,133110742,209584693
294,A Quiet Place,340939361,2018,0.5514891576276522,0.44851084237234784,188024361,152915000
295,300: Rise of an Empire,337580051,2014,0.31571785916935,0.68428214083065,106580051,231000000
296,Journey 2: The Mysterious Island,335260290,2012,0.30979001420060814,0.6902099857993919,103860290,231400000
297,The Great Wall,334933831,2016,0.13596963276008986,0.8640303672399101,45540830,289393001
298,Now You See Me 2,334897606,2016,0.19431473630778956,0.8056852636922105,65075540,269822066
299,Fantastic Four,333535934,2005,0.46380633758040596,0.5361936624195941,154696080,178839854
300,The Good Dinosaur,332207671,2015,0.3705125761530052,0.6294874238469947,123087120,209120551
